Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
Aug-11-2015,102.16
Aug-12-2015,103.05
Aug-13-2015,104.25
Aug-14-2015,107.44
Aug-17-2015,106.49
Aug-18-2015,106.04
Aug-19-2015,104.56
Aug-20-2015,100.60
Aug-21-2015,99.48
Aug-24-2015,94.82
Aug-25-2015,94.87
Aug-26-2015,96.36
Aug-27-2015,97.33
Aug-28-2015,97.16
Aug-31-2015,94.17
Sep-01-2015,91.72
Sep-02-2015,95.50
Sep-03-2015,95.08
Sep-04-2015,94.68
Sep-08-2015,95.66
Sep-09-2015,93.42
Sep-10-2015,93.65
Sep-11-2015,93.80
Sep-14-2015,94.39
Sep-15-2015,93.01
Sep-16-2015,91.52
Sep-17-2015,84.81
Sep-18-2015,84.68
Sep-21-2015,86.48
Sep-22-2015,83.50
Sep-23-2015,84.56
Sep-24-2015,85.59
Sep-25-2015,82.99
Sep-28-2015,79.25
Sep-29-2015,77.58
Sep-30-2015,79.78
Oct-01-2015,82.20
Oct-02-2015,84.31
Oct-05-2015,83.19
Oct-06-2015,80.93
Oct-07-2015,83.09
Oct-08-2015,79.56
Oct-09-2015,83.00
Oct-12-2015,84.46
Oct-13-2015,84.24
Oct-14-2015,81.77
Oct-15-2015,82.95
Oct-16-2015,85.05
Oct-19-2015,85.52
Oct-20-2015,86.81
Oct-21-2015,82.25
Oct-22-2015,83.82
Oct-23-2015,83.70
Oct-26-2015,82.53
Oct-27-2015,80.96
Oct-28-2015,83.94
Oct-29-2015,81.72
Oct-30-2015,83.96
Nov-02-2015,86.19
Nov-03-2015,85.93
Nov-04-2015,87.81
Nov-05-2015,84.39
Nov-06-2015,102.44
Nov-09-2015,100.05
Nov-10-2015,96.29
Nov-11-2015,96.75
Nov-12-2015,95.10
Nov-13-2015,93.58
Nov-16-2015,92.52
Nov-17-2015,93.74
Nov-18-2015,95.09
Nov-19-2015,93.87
Nov-20-2015,93.59
Nov-23-2015,94.73
Nov-24-2015,95.02
Nov-25-2015,96.96
Nov-27-2015,97.67
Nov-30-2015,97.03
Dec-01-2015,97.61
Dec-02-2015,94.99
Dec-03-2015,92.45
Dec-04-2015,94.10
Dec-07-2015,92.57
Dec-08-2015,93.63
Dec-09-2015,91.25
Dec-10-2015,92.43
Dec-11-2015,88.23
Dec-14-2015,88.24
Dec-15-2015,89.45
Dec-16-2015,92.20
Dec-17-2015,90.21
Dec-18-2015,88.67
Dec-21-2015,89.06
Dec-22-2015,93.20
Dec-23-2015,95.17
Dec-24-2015,95.48
Dec-28-2015,95.06
Dec-29-2015,95.09
Dec-30-2015,94.75
Dec-31-2015,94.22
Jan-04-2016,93.79
Jan-05-2016,94.30
Jan-06-2016,93.50
Jan-07-2016,88.57
Jan-08-2016,86.43
Jan-11-2016,87.13
Jan-12-2016,88.49
Jan-13-2016,82.15
Jan-14-2016,82.73
Jan-15-2016,81.06
Jan-19-2016,80.89
Jan-20-2016,79.41
Jan-21-2016,80.74
Jan-22-2016,81.34
Jan-25-2016,77.75
Jan-26-2016,77.99
Jan-27-2016,73.57
Jan-28-2016,77.85
Jan-29-2016,80.24
Feb-01-2016,80.90
Feb-02-2016,78.83
Feb-03-2016,79.61
Feb-04-2016,81.75
Feb-05-2016,41.33
Feb-08-2016,37.22
Feb-09-2016,39.23
Feb-10-2016,39.86
Feb-11-2016,39.98
Feb-12-2016,40.25
Feb-16-2016,40.17
Feb-17-2016,42.09
Feb-18-2016,41.09
Feb-19-2016,42.39
Feb-22-2016,42.66
Feb-23-2016,40.84
Feb-24-2016,42.07
Feb-25-2016,43.06
Feb-26-2016,44.41
Feb-29-2016,45.65
Mar-01-2016,48.60
Mar-02-2016,44.19
Mar-03-2016,43.12
Mar-04-2016,42.75
Mar-07-2016,44.32
Mar-08-2016,43.64
Mar-09-2016,42.68
Mar-10-2016,42.80
Mar-11-2016,44.97
Mar-14-2016,43.81
Mar-15-2016,42.55
Mar-16-2016,43.67
Mar-17-2016,43.22
Mar-18-2016,44.03
Mar-21-2016,43.62
Mar-22-2016,43.85
Mar-23-2016,42.19
Mar-24-2016,42.90
Mar-28-2016,43.93
Mar-29-2016,45.65
Mar-30-2016,45.36
Mar-31-2016,45.87
Apr-01-2016,45.86
Apr-04-2016,46.83
Apr-05-2016,45.29
Apr-06-2016,45.90
Apr-07-2016,45.43
Apr-08-2016,45.62
Apr-11-2016,44.81
Apr-12-2016,44.01
Apr-13-2016,47.88
Apr-14-2016,48.14
Apr-15-2016,48.17
Apr-18-2016,48.82
Apr-19-2016,47.00
Apr-20-2016,47.77
Apr-21-2016,49.59
Apr-22-2016,49.85
Apr-25-2016,49.86
Apr-26-2016,49.50
Apr-27-2016,49.63
Apr-28-2016,49.38
Apr-29-2016,51.70
May-02-2016,52.14
May-03-2016,50.72
May-04-2016,49.95
May-05-2016,50.98
May-06-2016,45.21
May-09-2016,46.39
May-10-2016,47.85
May-11-2016,49.26
May-12-2016,48.07
May-13-2016,48.35
May-16-2016,48.41
May-17-2016,47.38
May-18-2016,48.47
May-19-2016,48.00
May-20-2016,49.25
May-23-2016,48.99
May-24-2016,48.89
May-25-2016,49.35
May-26-2016,49.40
May-27-2016,50.20
May-31-2016,51.44
Jun-01-2016,54.32
Jun-02-2016,56.16
Jun-03-2016,54.86
Jun-06-2016,55.70
Jun-07-2016,55.33
Jun-08-2016,56.18
Jun-09-2016,55.47
Jun-10-2016,53.91
Jun-13-2016,54.38
Jun-14-2016,53.84
Jun-15-2016,54.64
Jun-16-2016,54.44
Jun-17-2016,54.14
Jun-20-2016,54.68
Jun-21-2016,54.94
Jun-22-2016,54.31
Jun-23-2016,55.76
Jun-24-2016,50.64
Jun-27-2016,47.15
Jun-28-2016,48.11
Jun-29-2016,49.28
Jun-30-2016,48.92
Jul-01-2016,48.96
Jul-05-2016,49.11
Jul-06-2016,49.32
Jul-07-2016,49.53
Jul-08-2016,50.50
Jul-11-2016,50.42
Jul-12-2016,53.13
Jul-13-2016,52.48
Jul-14-2016,53.27
Jul-15-2016,53.19
Jul-18-2016,53.63
Jul-19-2016,53.63
Jul-20-2016,57.03
Jul-21-2016,54.95
Jul-22-2016,57.06
Jul-25-2016,55.68
Jul-26-2016,56.13
Jul-27-2016,56.09
Jul-28-2016,56.95
Jul-29-2016,56.51
Aug-01-2016,56.44
Aug-02-2016,56.40
Aug-03-2016,53.20
