Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
Jul-24-2001,12.06
Jul-25-2001,11.51
Jul-26-2001,12.33
Jul-27-2001,12.25
Jul-30-2001,12.55
Jul-31-2001,12.49
Aug-01-2001,12.50
Aug-02-2001,12.19
Aug-03-2001,12.15
Aug-06-2001,11.90
Aug-07-2001,11.60
Aug-08-2001,11.11
Aug-09-2001,10.46
Aug-10-2001,9.95
Aug-13-2001,10.12
Aug-14-2001,10.53
Aug-15-2001,10.08
Aug-16-2001,9.81
Aug-17-2001,9.99
Aug-20-2001,10.40
Aug-21-2001,9.89
Aug-22-2001,10.20
Aug-23-2001,9.63
Aug-24-2001,10.23
Aug-27-2001,10.13
Aug-28-2001,9.97
Aug-29-2001,9.19
Aug-30-2001,8.69
Aug-31-2001,8.94
Sep-04-2001,8.59
Sep-05-2001,7.65
Sep-06-2001,8.15
Sep-07-2001,8.51
Sep-10-2001,8.63
Sep-17-2001,7.49
Sep-18-2001,7.29
Sep-19-2001,7.31
Sep-20-2001,7.48
Sep-21-2001,7.48
Sep-24-2001,7.46
Sep-25-2001,7.09
Sep-26-2001,6.35
Sep-27-2001,6.20
Sep-28-2001,5.97
Oct-01-2001,6.01
Oct-02-2001,6.08
Oct-03-2001,6.76
Oct-04-2001,7.04
Oct-05-2001,7.20
Oct-08-2001,7.12
Oct-09-2001,6.91
Oct-10-2001,7.26
Oct-11-2001,7.85
Oct-12-2001,8.07
Oct-15-2001,8.88
Oct-16-2001,9.56
Oct-17-2001,8.92
Oct-18-2001,8.47
Oct-19-2001,8.01
Oct-22-2001,8.77
Oct-23-2001,9.55
Oct-24-2001,7.64
Oct-25-2001,7.77
Oct-26-2001,7.56
Oct-29-2001,7.05
Oct-30-2001,6.42
Oct-31-2001,6.98
Nov-01-2001,6.95
Nov-02-2001,6.71
Nov-05-2001,6.99
Nov-06-2001,7.05
Nov-07-2001,7.43
Nov-08-2001,6.97
Nov-09-2001,7.12
Nov-12-2001,7.05
Nov-13-2001,7.29
Nov-14-2001,9.49
Nov-15-2001,9.05
Nov-16-2001,8.95
Nov-19-2001,9.19
Nov-20-2001,8.60
Nov-21-2001,8.80
Nov-23-2001,9.08
Nov-26-2001,12.21
Nov-27-2001,11.48
Nov-28-2001,11.59
Nov-29-2001,11.15
Nov-30-2001,11.32
Dec-03-2001,10.49
Dec-04-2001,11.93
Dec-05-2001,11.76
Dec-06-2001,12.10
Dec-07-2001,11.71
Dec-10-2001,11.65
Dec-11-2001,12.24
Dec-12-2001,11.91
Dec-13-2001,10.89
Dec-14-2001,11.00
Dec-17-2001,10.81
Dec-18-2001,10.86
Dec-19-2001,10.71
Dec-20-2001,10.15
Dec-21-2001,10.00
Dec-24-2001,9.83
Dec-26-2001,11.10
Dec-27-2001,10.60
Dec-28-2001,10.90
Dec-31-2001,10.82
Jan-02-2002,10.96
Jan-03-2002,11.90
Jan-04-2002,12.25
Jan-07-2002,12.34
Jan-08-2002,11.85
Jan-09-2002,11.53
Jan-10-2002,11.04
Jan-11-2002,11.03
Jan-14-2002,10.11
Jan-15-2002,10.29
Jan-16-2002,9.13
Jan-17-2002,9.74
Jan-18-2002,10.16
Jan-22-2002,12.60
Jan-23-2002,12.47
Jan-24-2002,14.01
Jan-25-2002,14.44
Jan-28-2002,15.50
Jan-29-2002,14.22
Jan-30-2002,13.90
Jan-31-2002,14.19
Feb-01-2002,13.73
Feb-04-2002,12.53
Feb-05-2002,11.50
Feb-06-2002,11.26
Feb-07-2002,11.24
Feb-08-2002,12.52
Feb-11-2002,13.30
Feb-12-2002,12.90
Feb-13-2002,13.29
Feb-14-2002,13.88
Feb-15-2002,13.41
Feb-19-2002,13.01
Feb-20-2002,12.96
Feb-21-2002,13.26
Feb-22-2002,13.07
Feb-25-2002,13.73
Feb-26-2002,14.40
Feb-27-2002,14.27
Feb-28-2002,14.10
Mar-01-2002,15.39
Mar-04-2002,16.48
Mar-05-2002,15.97
Mar-06-2002,16.33
Mar-07-2002,15.62
Mar-08-2002,16.35
Mar-11-2002,16.71
Mar-12-2002,16.31
Mar-13-2002,15.74
Mar-14-2002,14.48
Mar-15-2002,14.03
Mar-18-2002,15.01
Mar-19-2002,14.66
Mar-20-2002,14.50
Mar-21-2002,15.17
Mar-22-2002,15.53
Mar-25-2002,14.74
Mar-26-2002,14.83
Mar-27-2002,14.25
Mar-28-2002,14.30
Apr-01-2002,14.80
Apr-02-2002,14.25
Apr-03-2002,13.67
Apr-04-2002,13.54
Apr-05-2002,13.50
Apr-08-2002,13.95
Apr-09-2002,13.60
Apr-10-2002,13.48
Apr-11-2002,12.74
Apr-12-2002,13.31
Apr-15-2002,13.89
Apr-16-2002,14.01
Apr-17-2002,14.82
Apr-18-2002,14.26
Apr-19-2002,14.53
Apr-22-2002,14.31
Apr-23-2002,14.06
Apr-24-2002,16.79
Apr-25-2002,16.82
Apr-26-2002,16.91
Apr-29-2002,16.18
Apr-30-2002,16.69
